IP,Colo,Region
140.83.50.165,KIX,Asia_Pacific
140.83.58.118,KIX,Asia_Pacific
140.83.58.91,KIX,Asia_Pacific
140.83.61.171,KIX,Asia_Pacific
140.83.87.149,KIX,Asia_Pacific
141.144.195.228,AMS,Europe
141.144.197.66,AMS,Europe
141.145.198.129,CDG,Europe
141.145.220.26,CDG,Europe
141.145.223.162,CDG,Europe
141.147.110.118,LHR,Europe
141.147.114.60,LHR,Europe
141.147.149.223,KIX,Asia_Pacific
141.147.174.243,NRT,Asia_Pacific
141.147.176.31,NRT,Asia_Pacific
141.147.185.181,NRT,Asia_Pacific
141.147.31.174,FRA,Europe
141.147.70.200,LHR,Europe
141.147.86.214,LHR,Europe
141.148.136.150,SJC,North_America
141.148.145.112,SJC,North_America
141.148.155.60,SJC,North_America
141.148.159.253,LAX,North_America
141.148.167.5,LAX,North_America
141.148.230.220,AMS,Europe
141.148.246.88,AMS,Europe
141.148.247.11,AMS,Europe
141.253.114.88,CDG,Europe
141.253.118.230,WAW,Europe
141.253.121.200,CDG,Europe
141.253.194.63,MAD,Europe
141.253.98.123,CDG,Europe
143.47.108.112,IAD,North_America
143.47.240.3,LHR,Europe
143.47.242.109,LHR,Europe
144.24.140.37,BOM,Asia_Pacific
144.24.142.138,BOM,Asia_Pacific
144.24.152.218,BOM,Asia_Pacific
144.24.207.108,MRS,Europe
144.24.228.237,LHR,Europe
144.24.30.113,LAX,North_America
144.24.30.149,LAX,North_America
144.24.37.168,SJC,North_America
144.24.43.59,LAX,North_America
144.24.73.232,ICN,Asia_Pacific
144.24.86.21,ICN,Asia_Pacific
144.24.88.181,ICN,Asia_Pacific
144.24.94.127,ICN,Asia_Pacific
145.241.171.195,CDG,Europe
145.241.203.169,LHR,Europe
145.241.219.85,LHR,Europe
145.241.220.244,LHR,Europe
146.235.16.191,SIN,Asia_Pacific
146.235.199.164,SJC,North_America
146.235.199.93,SJC,North_America
146.235.202.197,SJC,North_America
146.235.215.169,SJC,North_America
146.235.218.116,SJC,North_America
146.235.220.243,SJC,North_America
146.235.226.140,SJC,North_America
146.235.232.79,SJC,North_America
146.56.106.214,ICN,Asia_Pacific
146.56.108.129,ICN,Asia_Pacific
146.56.110.165,ICN,Asia_Pacific
146.56.142.151,ICN,Asia_Pacific
146.56.143.15,ICN,Asia_Pacific
146.56.154.183,ICN,Asia_Pacific
146.56.158.34,ICN,Asia_Pacific
146.56.159.145,ICN,Asia_Pacific
146.56.172.1,ICN,Asia_Pacific
146.56.176.187,ICN,Asia_Pacific
146.56.179.20,ICN,Asia_Pacific
146.56.188.74,ICN,Asia_Pacific
146.56.45.117,ICN,Asia_Pacific
147.15.134.255,ORD,North_America
147.224.59.149,SJC,North_America
148.116.81.218,ORD,North_America
150.136.102.152,IAD,North_America
150.136.102.41,IAD,North_America
150.136.105.229,IAD,North_America
150.136.117.165,IAD,North_America
150.136.139.228,EWR,North_America
150.136.160.138,IAD,North_America
150.136.219.11,IAD,North_America
150.136.6.109,IAD,North_America
150.230.131.104,BOM,Asia_Pacific
150.230.158.141,FRA,Europe
150.230.2.165,KIX,Asia_Pacific
150.230.206.253,NRT,Asia_Pacific
150.230.212.247,NRT,Asia_Pacific
150.230.249.88,ICN,Asia_Pacific
150.230.35.200,SJC,North_America
150.230.35.233,SJC,North_America
150.230.38.45,SJC,North_America
150.230.39.219,SJC,North_America
150.230.41.112,SJC,North_America
150.230.41.59,SJC,North_America
150.230.5.126,KIX,Asia_Pacific
150.230.58.50,KIX,Asia_Pacific
150.230.78.183,GRU,South_America
151.145.74.149,NRT,Asia_Pacific
151.145.78.30,NRT,Asia_Pacific
152.67.11.56,BOM,Asia_Pacific
152.67.125.174,SYD,Oceania
152.67.161.216,BOM,Asia_Pacific
152.67.190.105,BOM,Asia_Pacific
152.67.194.189,ICN,Asia_Pacific
152.67.203.125,ICN,Asia_Pacific
152.67.208.47,ICN,Asia_Pacific
152.67.252.0,SJC,North_America
152.67.41.217,GRU,South_America
152.67.64.55,ZRH,Europe
152.67.67.58,ZRH,Europe
152.67.79.135,ZRH,Europe
152.67.85.239,ZRH,Europe
152.67.99.162,SYD,Oceania
152.69.199.75,KIX,Asia_Pacific
152.69.212.116,SIN,Asia_Pacific
152.69.229.110,ICN,Asia_Pacific
152.70.119.78,SJC,North_America
152.70.122.243,SJC,North_America
152.70.146.58,LAX,North_America
152.70.157.193,SJC,North_America
152.70.232.72,ICN,Asia_Pacific
152.70.239.74,ICN,Asia_Pacific
152.70.253.84,ICN,Asia_Pacific
152.70.254.197,ICN,Asia_Pacific
152.70.254.89,ICN,Asia_Pacific
152.70.28.54,FRA,Europe
152.70.41.134,FRA,Europe
152.70.53.186,AMS,Europe
152.70.86.102,KIX,Asia_Pacific
155.248.177.225,NRT,Asia_Pacific
155.248.181.189,NRT,Asia_Pacific
155.248.181.207,NRT,Asia_Pacific
155.248.215.244,SJC,North_America
155.248.216.138,YYZ,North_America
155.248.220.222,YYZ,North_America
157.137.229.226,GRU,South_America
157.151.135.47,MIA,North_America
